,High,Low,Open,close,volume,adj close,avg High,avg low,avg open,avg close,avg volume,avg adj close,trend
0,2610.0,2678.0,2601.050048828125,2664.300048828125,2664.300048828125,145514,3142.210009765625,3171.810009765625,3105.050048828125,3152.23994140625,3145.8984375,45907.4,bearish
1,63.099998474121094,63.79999923706055,60.54999923706055,62.099998474121094,62.099998474121094,56162634,75.35,76.73000106811523,74.21999969482422,75.32999877929687,75.32999877929687,94425801.8,bearish
2,57.900001525878906,58.95000076293945,56.54999923706055,57.900001525878906,57.900001525878906,16707700,69.26000061035157,70.05,68.6,69.12000045776367,69.12000045776367,9556145.6,bearish
3,2228.050048828125,2230.25,2040.0,2144.35009765625,2137.418701171875,1884393,2677.1,2697.67998046875,2638.230029296875,2661.22001953125,2652.61806640625,904254.8,bullish
4,467.8999938964844,468.5,462.04998779296875,462.29998779296875,455.6085205078125,43534718,575.6699951171875,582.8500122070312,565.1899963378906,573.5200012207031,565.2187194824219,27190665.4,bullish
5,1499.0,1500.0,1450.0,1447.4000244140625,1447.4000244140625,11879512,1848.3199951171875,1861.3699951171875,1816.55,1834.739990234375,1834.739990234375,4262744.6,bullish
6,1499.0,1500.0,1450.0,1447.4000244140625,1447.4000244140625,11879512,1848.3199951171875,1861.3699951171875,1816.55,1834.739990234375,1834.739990234375,4262744.6,bullish
7,201.75,203.0,199.5,201.9499969482422,195.9378204345703,16013422,236.15,238.82000122070312,234.68000183105468,237.6199981689453,230.5458953857422,15569788.0,bullish
8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,unknown
9,2660.14990234375,2668.14990234375,2631.10009765625,2649.550048828125,2643.588623046875,1325724,3139.149951171875,3173.82001953125,3102.889990234375,3141.67998046875,3134.611181640625,3619641.4,bullish
10,129.25,131.6999969482422,128.85000610351562,130.14999389648438,128.6055450439453,37245053,152.15,153.88999938964844,150.95,152.27999877929688,150.4729461669922,18344792.8,bullish
11,201.85000610351562,210.4499969482422,209.64999389648438,210.0,203.74815368652344,39630520,237.9800018310547,242.06000061035155,236.21000061035156,241.03999938964844,233.86408081054688,21708492.8,bullish
12,120.3499984741211,122.94999694824219,117.19999694824219,119.0999984741211,115.4928970336914,64986613,139.20999908447266,141.61000061035156,137.85,139.54000091552734,135.31384887695313,31111608.0,bullish
13,175.3000030517578,177.0,174.0,176.6999969482422,168.61424255371094,5584773,207.62000122070313,210.15,205.71999816894532,208.5,198.95909118652344,10236489.4,bearish
14,119.0999984741211,122.3499984741211,115.0999984741211,120.3499984741211,116.70503997802734,32978003,140.58999938964843,143.28000030517578,138.97999877929686,141.2,136.92357177734374,34932775.2,bearish
15,64.05000305175781,66.75,64.4000015258789,66.1500015258789,65.97073364257812,13863049,77.39000015258789,78.56000061035157,76.7900001525879,77.46999969482422,77.26005249023437,6395496.4,bearish
16,219.5500030517578,226.64999389648438,216.85000610351562,225.14999389648438,218.4471435546875,63510580,246.6700012207031,252.50999755859374,244.9,251.53999938964844,244.0514923095703,38906957.0,bearish
17,345.0,378.3999938964844,366.54998779296875,372.95001220703125,372.95001220703125,6350711,412.74000244140626,423.8799987792969,406.85,417.9,417.9,1528041.0,bullish
18,5680.0,5874.0,5621.0,5620.0,5620.0,31101,6732.12998046875,6861.7,6581.57998046875,6714.12998046875,6696.12998046875,21238.8,bullish
19,645.5999755859375,658.9000244140625,634.4000244140625,646.2000122070312,646.2000122070312,1550686,773.7299926757812,792.0900024414062,756.7800048828125,764.2699829101563,764.2699829101563,2399043.0,bullish
20,645.5999755859375,658.9000244140625,634.4000244140625,646.2000122070312,646.2000122070312,1550686,773.7299926757812,792.0900024414062,756.7800048828125,764.2699829101563,764.2699829101563,2399043.0,bullish
21,78.5999984741211,80.3499984741211,77.69999694824219,78.80000305175781,76.32201385498047,8062523,92.71000061035156,94.78000183105469,91.62000122070313,92.96000213623047,90.03673248291015,8171640.8,bearish
22,547.7000122070312,561.4000244140625,532.0999755859375,543.7000122070312,543.7000122070312,1562433,645.8200073242188,658.55,637.3300048828125,648.2,648.2,674823.2,bearish
23,585.75,588.5,542.9000244140625,559.7000122070312,533.9014282226562,2998908,708.860009765625,717.9599975585937,694.3799926757813,703.1400146484375,670.7297729492187,2028693.4,bearish
24,37.849998474121094,38.099998474121094,35.599998474121094,37.5,37.5,2427255,44.69000015258789,46.17999954223633,43.66999969482422,45.189999389648435,45.189999389648435,11511581.4,bearish
25,2012.949951171875,2017.0,2026.8499755859375,2004.699951171875,1997.2120361328125,420071,2385.989990234375,2482.07001953125,2326.3199951171873,2419.7300048828124,2410.6918212890623,1530382.4,bullish
26,3484.050048828125,3489.949951171875,3425.050048828125,3470.60009765625,3420.813720703125,1634225,4121.839990234375,4157.719970703125,4099.1400390625,4138.17001953125,4078.80732421875,2326804.8,bearish
27,1530.0,1534.0,1492.25,1499.699951171875,1499.699951171875,3426948,1790.7099853515624,1814.0,1752.9099853515625,1787.810009765625,1787.810009765625,6069072.6,bullish
28,114.30000305175781,116.69999694824219,115.5999984741211,116.4000015258789,112.87467193603516,16636302,140.5199996948242,142.00999908447267,137.88999786376954,139.64000091552734,135.41082000732422,22817355.2,bullish
29,112.69999694824219,113.19999694824219,111.0999984741211,111.30000305175781,106.071533203125,6796305,137.8300003051758,138.40999755859374,135.40999908447264,136.18000030517578,129.7827621459961,11149574.8,bullish
30,918.0,925.0,891.0,892.4500122070312,892.4500122070312,5841846,1042.4,1066.1300048828125,1025.3,1053.1099975585937,1050.7099975585938,3545691.4,bullish
